FR;EN;group;stage;type
le steward;the flight attendant;;1.0;mot regulier
se raser;to shave;;1.0;mot regulier
égoïste;selfish;;1.0;mot regulier
passer l'aspirateur;to hoover;;1.0;mot regulier
la prêtresse;the priest;;1.0;mot regulier
J'ai un rendez-vous avec mon conseiller bancaire.;I have an appointment with my bank advisor.;;1.0;mot regulier
Normalement, j'ai une pression artérielle haute.;My blood pressure is usually high.;;1.0;mot regulier
Mon frère ne fait jamais le ménage. Il est pire que moi.;My brother never does the housework. He's worse than me.;;1.0;mot regulier
inhospitalier;harsh;;1.0;mot regulier
être fleur bleue;to be sentimental/romantic;;1.0;mot regulier
la bureaucratie;the bureaucracy;;1.0;mot regulier
le centre d'appel;the helpline;;1.0;mot regulier
le tribunal;the court;;1.0;mot regulier
les chaussettes;socks;;1.0;mot regulier
le clignotant;the indicator;;1.0;mot regulier
fondant;melting;;1.0;mot regulier
la gravité;the gravity;;1.0;mot regulier
un arbre;tree;;1.0;mot regulier
les doigts fripés;pruney fingers;;1.0;mot regulier
S'accommoder de [quelque chose];To make the best of [something];;1.0;mot regulier
le fromage de chèvre;goat's cheese;;1.0;mot regulier
la pauvreté;the poverty;;1.0;mot regulier
le fossé;the rift;;1.0;mot regulier
décembre;December;;1.0;mot regulier
le sureau;the elderberry;;1.0;mot regulier
une poétesse;a poet (f);;1.0;mot regulier
agrafer;to fasten, to do up;;1.0;mot regulier
peu sûr de soi;insecure;;1.0;mot regulier
J'ai fait une pendaison de crémaillère hier.;I had a housewarming party yesterday.;;1.0;mot regulier
le sondage d'opinion;the opinion poll;;1.0;mot regulier
la révérence;the bow;;1.0;mot regulier
Je prends l'avion. (prendre);I'm taking the plane.;;1.0;mot regulier
le galet;the pebble;;1.0;mot regulier
Le symbole des Jeux Olympiques sont les cinq anneaux, qui représentent les cinq continents.;The symbol for the Olympic Games is the five rings, which represent the five continents.;;1.0;mot regulier
le septième art;the cinematographic (7th) art;;1.0;mot regulier
Certains fans ont des laissez-passer et peuvent aller en coulisses.;Some fans have backstage passes and are allowed to go backstage.;;1.0;mot regulier
les spiritueux;the spirits;;1.0;mot regulier
Oui je sais. On me l'a déjà dit.;Yes I know. Everyone keeps telling me.;;1.0;mot regulier
la quincaillerie;the hardware store;;1.0;mot regulier
se les geler;to freeze one's butt off (fam.);;1.0;mot regulier
avoir des atomes crochus avec [quelqu'un];to have a lot in common with [someone];;1.0;mot regulier
le frère;brother;;1.0;mot regulier
Le vin que j'ai bu était sec.;The wine I drank was dry.;;1.0;mot regulier
C'est le meilleur buffet de ma vie. Il est vraiment copieux. (++);That is the best buffet of my life. It is really copious.;;1.0;mot regulier
une abeille;bee;;1.0;mot regulier
la musique;music;;1.0;mot regulier
S'apercevoir de [quelque chose];To notice [something];;1.0;mot regulier
faire un tour de magie;to do a magic trick;;1.0;mot regulier
mars;March;;1.0;mot regulier
le peintre;painter (m);;1.0;mot regulier
faire de l'œil à [quelqu'un];to make eyes at [someone];;1.0;mot regulier
les gouttes;the drops;;1.0;mot regulier
un recourbe-cils;eyelash curler;;1.0;mot regulier
une carafe;a jug;;1.0;mot regulier
un feuilleton;soap opera;;1.0;mot regulier
traîner;to hang out;;1.0;mot regulier
le pneu;the tyre;;1.0;mot regulier
les urgences;A&E / ER;;1.0;mot regulier
être un panier percé;to be a spendthrift;;1.0;mot regulier
saignant;rare;;1.0;mot regulier
le clignotant;blinker / [US: turn signal];;1.0;mot regulier
débrancher;to unplug;;1.0;mot regulier
la Pologne;Poland;;1.0;mot regulier
le cousin;cousin (m);;1.0;mot regulier
le tabouret;the stool;;1.0;mot regulier
un saladier;a mixing bowl;;1.0;mot regulier
le chant des supporters;the football chant (lit. chant of the supporters);;1.0;mot regulier
l'hippocampe;the seahorse;;1.0;mot regulier
le requin;the shark;;1.0;mot regulier
les mèches;the highlights;;1.0;mot regulier
il y a du brouillard;it's foggy;;1.0;mot regulier
la mie;the soft white part of bread;;1.0;mot regulier
s'écrouler;to collapse;;1.0;mot regulier
un marcel;a vest;;1.0;mot regulier
immatriculer;to register;;1.0;mot regulier
le parcours professionnel;career path;;1.0;mot regulier
fouler;to sprain;;1.0;mot regulier
la haie;the hedge;;1.0;mot regulier
une manche;a round, a set (game);;1.0;mot regulier
enfiler;to slip on;;1.0;mot regulier
la laque;hairspray;;1.0;mot regulier
le nœud papillon;the bow tie;;1.0;mot regulier
Les tongs sont plus confortables que les chaussures en été.;Flip-flops are more comfortable than shoes in the summer.;;1.0;mot regulier
nuageux;cloudy;;1.0;mot regulier
économiser;to save;;1.0;mot regulier
l'arbre fruitier;the fruit tree;;1.0;mot regulier
un bison;a buffalo;;1.0;mot regulier
Oui, nous le savons, il a appelé.;Yes, we know (it), he rang.;;1.0;mot regulier
lisse;straight;;1.0;mot regulier
la pension complète;full board;;1.0;mot regulier
dix-huit;eighteen;;1.0;mot regulier
Le serveur vient de prendre notre commande.;The waiter has just taken our order.;;1.0;mot regulier
le cadavre;the corpse;;1.0;mot regulier
le dissolvant;the nail polish remover;;1.0;mot regulier
réduire;to lower / to cut down;;1.0;mot regulier
la psychologue;the psychologist (fem.);;1.0;mot regulier
janvier;January;;1.0;mot regulier
déboîté;dislocated;;1.0;mot regulier
la casserole;the saucepan;;1.0;mot regulier
le polaire;fleece;;1.0;mot regulier
le figurant;the extra;;1.0;mot regulier
printanier;spring-like (m);;1.0;mot regulier
Tu allais volontiers à l'école ? (nous allons);Did you used to enjoy going to school?;;1.0;mot regulier
l'agroglyphe;the crop circle;;1.0;mot regulier
la plage arrière;parcel shelf / rear shelf / [US: rear dash];;1.0;mot regulier
le bac;the A-levels;;1.0;mot regulier
décolleté;low-cut;;1.0;mot regulier
la Chandeleur;Candlemas / Pancake Day;;1.0;mot regulier
la brebis;the ewe;;1.0;mot regulier
le SAMU;the ambulance service;;1.0;mot regulier
le fouet;whisk;;1.0;mot regulier
soigné;well-groomed;;1.0;mot regulier
la farce;stuffing;;1.0;mot regulier
le poignet;wrist;;1.0;mot regulier
le relevé de compte;the statement;;1.0;mot regulier
un tire-bouchon;a corkscrew;;1.0;mot regulier
le millésime;the vintage;;1.0;mot regulier
une perturbation;a disturbance;;1.0;mot regulier
désinvolte;casual;;1.0;mot regulier
le gendre;son-in-law;;1.0;mot regulier
le secouriste;the paramedic;;1.0;mot regulier
jeûner;to fast;;1.0;mot regulier
acide;sharp/tart;;1.0;mot regulier
condamner;to sentence;;1.0;mot regulier
commémorer;to commemorate;;1.0;mot regulier
le foulard;the scarf (thin);;1.0;mot regulier
Quel beau tabouret !;What a beautiful stool!;;1.0;mot regulier
un analgésique;a painkiller;;1.0;mot regulier
actuellement;currently/at the present time;;1.0;mot regulier
abîmer;to damage;;1.0;mot regulier
une toile;a canvas;;1.0;mot regulier
le routard;the backpacker (masc.);;1.0;mot regulier
la civière;the stretcher;;1.0;mot regulier
le plâtre;the cast;;1.0;mot regulier
le potage;soup;;1.0;mot regulier
À Cannes, on couronne des films extraordinaires.;At Cannes exceptional films receive awards.;;1.0;mot regulier
éclore;to bloom;;1.0;mot regulier
cliquer;to click;;1.0;mot regulier
le VTT;the mountain bike;;1.0;mot regulier
Tu dois te nourrir plus sainement.;You have to eat more healthily.;;1.0;mot regulier
un maçon;a builder;;1.0;mot regulier
un tourniquet;a roundabout;;1.0;mot regulier
un cerf;a stag;;1.0;mot regulier
la vase;silt, mud;;1.0;mot regulier
le pétrin;the kneading-machine;;1.0;mot regulier
parler de la pluie et du beau temps;to make small talk;;1.0;mot regulier
la pelouse;the lawn;;1.0;mot regulier
un chardon;thistle;;1.0;mot regulier
les espèces;cash;;1.0;mot regulier
le sourire grimaçant;the sneer;;1.0;mot regulier
un rapport;a relationship;;1.0;mot regulier
mijoter;to simmer;;1.0;mot regulier
le badaud;the bystander;;1.0;mot regulier
la bavette;flank steak;;1.0;mot regulier
une cagoule;open-face balaclava / ski mask;;1.0;mot regulier
une averse;a (rain) shower;;1.0;mot regulier
la figurante;the extra;;1.0;mot regulier
le vigneron;the wine grower;;1.0;mot regulier
la lucarne;top corner [of the goal];;1.0;mot regulier
le perruquier;the wig maker (masc.);;1.0;mot regulier
le pissenlit;the dandelion;;1.0;mot regulier
traire;to milk;;1.0;mot regulier
une clairière;a clearing;;1.0;mot regulier
le tablier;the apron;;1.0;mot regulier
la remise;the shed;;1.0;mot regulier
le nénuphar;the water lily;;1.0;mot regulier
la distribution;the cast;;1.0;mot regulier
le rasoir;the razor;;1.0;mot regulier
dépoussiérer;to dust;;1.0;mot regulier
le lavabo;the wash basin;;1.0;mot regulier
le ragoût;stew;;1.0;mot regulier
le rétroviseur;the rear-view mirror;;1.0;mot regulier
les persiennes;the blind;;1.0;mot regulier
à la provençale;with tomatoes and garlic;;1.0;mot regulier
la toque;the hairnet;;1.0;mot regulier
la plaque d'égout;the manhole cover;;1.0;mot regulier
la spéléologie;potholing;;1.0;mot regulier
le cuir vernis;the patent leather;;1.0;mot regulier
gâter;to spoil;;1.0;mot regulier
un blaireau;a badger;;1.0;mot regulier
à volants;frilly;;1.0;mot regulier
le guidon;the handlebars;;1.0;mot regulier
le serrurier;the locksmith (masc.);;1.0;mot regulier
Le chanteur porte des vêtements extravagants.;The singer is wearing extravagant clothes.;;1.0;mot regulier
le haut débit;broadband;;1.0;mot regulier
une corbeille à papier;wastepaper bin / waste basket;;1.0;mot regulier
la douane;customs;;1.0;mot regulier
la poignée;handle;;1.0;mot regulier
l'encart publicitaire;the advertisement;;1.0;mot regulier
se moucher;to blow one's nose;;1.0;mot regulier
la banlieue;the suburbs;;1.0;mot regulier
frileuse;sensitive to cold (f);;1.0;mot regulier
une coulée de boue;a mud slide;;2.0;mot regulier
une serviette de plage;a beach towel;;2.0;mot regulier
une passoire;a colander;;2.0;mot regulier
un marque-page;a bookmark;;2.0;mot regulier
Farce ou friandise !;Trick or treat!;;2.0;mot regulier
rendre;to give back;;2.0;mot regulier
un cortège;a procession;;2.0;mot regulier
